Rank,date,fullName,nationality
11,2019-06-27,Sikandar Raza,ZIM
12,2019-06-27,Angelo Mathews,SL
13,2019-06-27,Colin de Grandhomme,NZ
14,2019-06-27,Marcus Stoinis,AUS
15,2019-06-27,Sean Williams,ZIM
16,2019-06-27,Hardik Pandya,IND
17,2019-06-27,Moeen Ali,ENG
18,2019-06-27,Kedar Jadhav,IND
19,2019-06-27,Glenn Maxwell,AUS
20,2019-06-27,Adil Rashid,ENG
1,2019-06-28,Shakib Al Hasan,BAN
2,2019-06-28,Mohammad Nabi,AFG
3,2019-06-28,Rashid Khan,AFG
4,2019-06-28,Ben Stokes,ENG
5,2019-06-28,Imad Wasim,PAK
6,2019-06-28,Mitchell Santner,NZ
7,2019-06-28,Jason Holder,WI
8,2019-06-28,Chris Woakes,ENG
9,2019-06-28,Mohammad Hafeez,PAK
10,2019-06-28,Andile Phehlukwayo,SA
11,2019-06-28,Sikandar Raza,ZIM
12,2019-06-28,Colin de Grandhomme,NZ
13,2019-06-28,Angelo Mathews,SL
14,2019-06-28,Marcus Stoinis,AUS
15,2019-06-28,Sean Williams,ZIM
16,2019-06-28,Hardik Pandya,IND
17,2019-06-28,Moeen Ali,ENG
18,2019-06-28,Kedar Jadhav,IND
19,2019-06-28,Glenn Maxwell,AUS
20,2019-06-28,Adil Rashid,ENG
1,2019-06-29,Shakib Al Hasan,BAN
2,2019-06-29,Mohammad Nabi,AFG
3,2019-06-29,Rashid Khan,AFG
4,2019-06-29,Ben Stokes,ENG
5,2019-06-29,Imad Wasim,PAK
6,2019-06-29,Jason Holder,WI
7,2019-06-29,Chris Woakes,ENG
8,2019-06-29,Mitchell Santner,NZ
9,2019-06-29,Andile Phehlukwayo,SA
10,2019-06-29,Sikandar Raza,ZIM
11,2019-06-29,Mohammad Hafeez,PAK
12,2019-06-29,Angelo Mathews,SL
13,2019-06-29,Colin de Grandhomme,NZ
14,2019-06-29,Sean Williams,ZIM
15,2019-06-29,Marcus Stoinis,AUS
16,2019-06-29,Hardik Pandya,IND
17,2019-06-29,Moeen Ali,ENG
18,2019-06-29,Kedar Jadhav,IND
19,2019-06-29,Adil Rashid,ENG
20,2019-06-29,Glenn Maxwell,AUS
1,2019-06-30,Shakib Al Hasan,BAN
2,2019-06-30,Mohammad Nabi,AFG
3,2019-06-30,Ben Stokes,ENG
4,2019-06-30,Rashid Khan,AFG
5,2019-06-30,Imad Wasim,PAK
6,2019-06-30,Jason Holder,WI
7,2019-06-30,Chris Woakes,ENG
8,2019-06-30,Mitchell Santner,NZ
9,2019-06-30,Andile Phehlukwayo,SA
10,2019-06-30,Sikandar Raza,ZIM
11,2019-06-30,Mohammad Hafeez,PAK
12,2019-06-30,Angelo Mathews,SL
13,2019-06-30,Hardik Pandya,IND
14,2019-06-30,Colin de Grandhomme,NZ
15,2019-06-30,Sean Williams,ZIM
16,2019-06-30,Marcus Stoinis,AUS
17,2019-06-30,Moeen Ali,ENG
18,2019-06-30,Kedar Jadhav,IND
19,2019-06-30,Adil Rashid,ENG
20,2019-06-30,Glenn Maxwell,AUS
1,2019-07-01,Shakib Al Hasan,BAN
2,2019-07-01,Mohammad Nabi,AFG
3,2019-07-01,Ben Stokes,ENG
4,2019-07-01,Rashid Khan,AFG
5,2019-07-01,Imad Wasim,PAK
6,2019-07-01,Jason Holder,WI
7,2019-07-01,Chris Woakes,ENG
8,2019-07-01,Mitchell Santner,NZ
9,2019-07-01,Andile Phehlukwayo,SA
10,2019-07-01,Mohammad Hafeez,PAK
11,2019-07-01,Sikandar Raza,ZIM
12,2019-07-01,Hardik Pandya,IND
13,2019-07-01,Angelo Mathews,SL
14,2019-07-01,Colin de Grandhomme,NZ
15,2019-07-01,Marcus Stoinis,AUS
16,2019-07-01,Sean Williams,ZIM
17,2019-07-01,Moeen Ali,ENG
18,2019-07-01,Kedar Jadhav,IND
19,2019-07-01,Adil Rashid,ENG
20,2019-07-01,Glenn Maxwell,AUS
1,2019-07-02,Shakib Al Hasan,BAN
2,2019-07-02,Mohammad Nabi,AFG
3,2019-07-02,Ben Stokes,ENG
4,2019-07-02,Rashid Khan,AFG
5,2019-07-02,Imad Wasim,PAK
6,2019-07-02,Jason Holder,WI
7,2019-07-02,Chris Woakes,ENG
8,2019-07-02,Mitchell Santner,NZ
9,2019-07-02,Andile Phehlukwayo,SA
10,2019-07-02,Mohammad Hafeez,PAK
11,2019-07-02,Sikandar Raza,ZIM
12,2019-07-02,Hardik Pandya,IND
13,2019-07-02,Angelo Mathews,SL
14,2019-07-02,Colin de Grandhomme,NZ
15,2019-07-02,Marcus Stoinis,AUS
16,2019-07-02,Sean Williams,ZIM
17,2019-07-02,Moeen Ali,ENG
18,2019-07-02,Kedar Jadhav,IND
19,2019-07-02,Adil Rashid,ENG
20,2019-07-02,Glenn Maxwell,AUS
1,2019-07-03,Shakib Al Hasan,BAN
2,2019-07-03,Ben Stokes,ENG
3,2019-07-03,Mohammad Nabi,AFG
4,2019-07-03,Rashid Khan,AFG
5,2019-07-03,Imad Wasim,PAK
6,2019-07-03,Jason Holder,WI
7,2019-07-03,Andile Phehlukwayo,SA
8,2019-07-03,Mohammad Hafeez,PAK
9,2019-07-03,Chris Woakes,ENG
10,2019-07-03,Mitchell Santner,NZ
11,2019-07-03,Sikandar Raza,ZIM
12,2019-07-03,Hardik Pandya,IND
13,2019-07-03,Angelo Mathews,SL
14,2019-07-03,Marcus Stoinis,AUS
15,2019-07-03,Sean Williams,ZIM
16,2019-07-03,Moeen Ali,ENG
17,2019-07-03,Jimmy Neesham,NZ
18,2019-07-03,Colin de Grandhomme,NZ
19,2019-07-03,Kedar Jadhav,IND
20,2019-07-03,Adil Rashid,ENG
1,2019-07-04,Shakib Al Hasan,BAN
2,2019-07-04,Ben Stokes,ENG
3,2019-07-04,Mohammad Nabi,AFG
4,2019-07-04,Imad Wasim,PAK
5,2019-07-04,Rashid Khan,AFG
6,2019-07-04,Jason Holder,WI
7,2019-07-04,Andile Phehlukwayo,SA
8,2019-07-04,Mohammad Hafeez,PAK
9,2019-07-04,Chris Woakes,ENG
10,2019-07-04,Sikandar Raza,ZIM
11,2019-07-04,Mitchell Santner,NZ
12,2019-07-04,Hardik Pandya,IND
13,2019-07-04,Angelo Mathews,SL
14,2019-07-04,Marcus Stoinis,AUS
15,2019-07-04,Sean Williams,ZIM
16,2019-07-04,Moeen Ali,ENG
17,2019-07-04,Jimmy Neesham,NZ
18,2019-07-04,Colin de Grandhomme,NZ
19,2019-07-04,Kedar Jadhav,IND
20,2019-07-04,Adil Rashid,ENG
1,2019-07-05,Shakib Al Hasan,BAN
2,2019-07-05,Ben Stokes,ENG
3,2019-07-05,Mohammad Nabi,AFG
4,2019-07-05,Imad Wasim,PAK
5,2019-07-05,Rashid Khan,AFG
6,2019-07-05,Jason Holder,WI
7,2019-07-05,Andile Phehlukwayo,SA
8,2019-07-05,Chris Woakes,ENG
9,2019-07-05,Sikandar Raza,ZIM
10,2019-07-05,Mohammad Hafeez,PAK
11,2019-07-05,Mitchell Santner,NZ
12,2019-07-05,Hardik Pandya,IND
13,2019-07-05,Angelo Mathews,SL
14,2019-07-05,Marcus Stoinis,AUS
15,2019-07-05,Sean Williams,ZIM
16,2019-07-05,Moeen Ali,ENG
17,2019-07-05,Jimmy Neesham,NZ
18,2019-07-05,Colin de Grandhomme,NZ
19,2019-07-05,Kedar Jadhav,IND
20,2019-07-05,Adil Rashid,ENG
1,2019-07-06,Shakib Al Hasan,BAN
2,2019-07-06,Ben Stokes,ENG
3,2019-07-06,Mohammad Nabi,AFG
4,2019-07-06,Imad Wasim,PAK
5,2019-07-06,Rashid Khan,AFG
6,2019-07-06,Jason Holder,WI
7,2019-07-06,Andile Phehlukwayo,SA
8,2019-07-06,Chris Woakes,ENG
9,2019-07-06,Sikandar Raza,ZIM
10,2019-07-06,Mohammad Hafeez,PAK
11,2019-07-06,Hardik Pandya,IND
12,2019-07-06,Mitchell Santner,NZ
13,2019-07-06,Angelo Mathews,SL
14,2019-07-06,Marcus Stoinis,AUS
15,2019-07-06,Sean Williams,ZIM
16,2019-07-06,Moeen Ali,ENG
17,2019-07-06,Jimmy Neesham,NZ
18,2019-07-06,Colin de Grandhomme,NZ
19,2019-07-06,Adil Rashid,ENG
20,2019-07-06,Kedar Jadhav,IND
1,2019-07-07,Shakib Al Hasan,BAN
2,2019-07-07,Ben Stokes,ENG
3,2019-07-07,Mohammad Nabi,AFG
4,2019-07-07,Imad Wasim,PAK
5,2019-07-07,Rashid Khan,AFG
6,2019-07-07,Jason Holder,WI
7,2019-07-07,Andile Phehlukwayo,SA
8,2019-07-07,Chris Woakes,ENG
9,2019-07-07,Mohammad Hafeez,PAK
10,2019-07-07,Hardik Pandya,IND
11,2019-07-07,Mitchell Santner,NZ
12,2019-07-07,Angelo Mathews,SL
13,2019-07-07,Sikandar Raza,ZIM
14,2019-07-07,Sean Williams,ZIM
15,2019-07-07,Marcus Stoinis,AUS
16,2019-07-07,Moeen Ali,ENG
17,2019-07-07,Jimmy Neesham,NZ
18,2019-07-07,Colin de Grandhomme,NZ
19,2019-07-07,Adil Rashid,ENG
20,2019-07-07,Kedar Jadhav,IND
1,2019-07-08,Shakib Al Hasan,BAN
2,2019-07-08,Ben Stokes,ENG
3,2019-07-08,Mohammad Nabi,AFG
4,2019-07-08,Imad Wasim,PAK
5,2019-07-08,Rashid Khan,AFG
6,2019-07-08,Jason Holder,WI
7,2019-07-08,Andile Phehlukwayo,SA
8,2019-07-08,Chris Woakes,ENG
9,2019-07-08,Mohammad Hafeez,PAK
10,2019-07-08,Hardik Pandya,IND
11,2019-07-08,Mitchell Santner,NZ
12,2019-07-08,Angelo Mathews,SL
13,2019-07-08,Sikandar Raza,ZIM
14,2019-07-08,Sean Williams,ZIM
15,2019-07-08,Marcus Stoinis,AUS
16,2019-07-08,Moeen Ali,ENG
17,2019-07-08,Jimmy Neesham,NZ
18,2019-07-08,Colin de Grandhomme,NZ
19,2019-07-08,Adil Rashid,ENG
20,2019-07-08,Kedar Jadhav,IND
1,2019-07-09,Shakib Al Hasan,BAN
2,2019-07-09,Ben Stokes,ENG
3,2019-07-09,Mohammad Nabi,AFG
4,2019-07-09,Imad Wasim,PAK
5,2019-07-09,Rashid Khan,AFG
6,2019-07-09,Jason Holder,WI
7,2019-07-09,Mitchell Santner,NZ
8,2019-07-09,Andile Phehlukwayo,SA
9,2019-07-09,Chris Woakes,ENG
10,2019-07-09,Hardik Pandya,IND
11,2019-07-09,Mohammad Hafeez,PAK
12,2019-07-09,Angelo Mathews,SL
13,2019-07-09,Sikandar Raza,ZIM
14,2019-07-09,Sean Williams,ZIM
15,2019-07-09,Marcus Stoinis,AUS
16,2019-07-09,Moeen Ali,ENG
17,2019-07-09,Colin de Grandhomme,NZ
18,2019-07-09,Adil Rashid,ENG
19,2019-07-09,Ravindra Jadeja,IND
20,2019-07-09,Kagiso Rabada,SA
1,2019-07-10,Shakib Al Hasan,BAN
2,2019-07-10,Ben Stokes,ENG
3,2019-07-10,Mohammad Nabi,AFG
4,2019-07-10,Imad Wasim,PAK
5,2019-07-10,Rashid Khan,AFG
6,2019-07-10,Jason Holder,WI
7,2019-07-10,Mitchell Santner,NZ
8,2019-07-10,Andile Phehlukwayo,SA
9,2019-07-10,Chris Woakes,ENG
10,2019-07-10,Hardik Pandya,IND
11,2019-07-10,Mohammad Hafeez,PAK
12,2019-07-10,Angelo Mathews,SL
13,2019-07-10,Sikandar Raza,ZIM
14,2019-07-10,Sean Williams,ZIM
15,2019-07-10,Marcus Stoinis,AUS
16,2019-07-10,Moeen Ali,ENG
17,2019-07-10,Colin de Grandhomme,NZ
18,2019-07-10,Adil Rashid,ENG
19,2019-07-10,Ravindra Jadeja,IND
20,2019-07-10,Kagiso Rabada,SA
1,2019-07-11,Shakib Al Hasan,BAN
2,2019-07-11,Ben Stokes,ENG
3,2019-07-11,Mohammad Nabi,AFG
4,2019-07-11,Imad Wasim,PAK
5,2019-07-11,Rashid Khan,AFG
6,2019-07-11,Chris Woakes,ENG
7,2019-07-11,Jason Holder,WI
8,2019-07-11,Mitchell Santner,NZ
9,2019-07-11,Andile Phehlukwayo,SA
10,2019-07-11,Hardik Pandya,IND
11,2019-07-11,Mohammad Hafeez,PAK
12,2019-07-11,Angelo Mathews,SL
13,2019-07-11,Sikandar Raza,ZIM
14,2019-07-11,Sean Williams,ZIM
15,2019-07-11,Marcus Stoinis,AUS
16,2019-07-11,Adil Rashid,ENG
17,2019-07-11,Moeen Ali,ENG
18,2019-07-11,Colin de Grandhomme,NZ
19,2019-07-11,Ravindra Jadeja,IND
20,2019-07-11,Kagiso Rabada,SA
1,2019-07-12,Shakib Al Hasan,BAN
2,2019-07-12,Ben Stokes,ENG
3,2019-07-12,Mohammad Nabi,AFG
4,2019-07-12,Imad Wasim,PAK
5,2019-07-12,Rashid Khan,AFG
6,2019-07-12,Chris Woakes,ENG
7,2019-07-12,Jason Holder,WI
8,2019-07-12,Mitchell Santner,NZ
9,2019-07-12,Andile Phehlukwayo,SA
10,2019-07-12,Hardik Pandya,IND
11,2019-07-12,Mohammad Hafeez,PAK
12,2019-07-12,Angelo Mathews,SL
13,2019-07-12,Sikandar Raza,ZIM
14,2019-07-12,Sean Williams,ZIM
15,2019-07-12,Marcus Stoinis,AUS
16,2019-07-12,Adil Rashid,ENG
17,2019-07-12,Moeen Ali,ENG
18,2019-07-12,Colin de Grandhomme,NZ
19,2019-07-12,Ravindra Jadeja,IND
20,2019-07-12,Kagiso Rabada,SA
1,2019-07-13,Shakib Al Hasan,BAN
2,2019-07-13,Ben Stokes,ENG
3,2019-07-13,Mohammad Nabi,AFG
4,2019-07-13,Imad Wasim,PAK
5,2019-07-13,Rashid Khan,AFG
6,2019-07-13,Chris Woakes,ENG
7,2019-07-13,Jason Holder,WI
8,2019-07-13,Mitchell Santner,NZ
9,2019-07-13,Andile Phehlukwayo,SA
10,2019-07-13,Hardik Pandya,IND
11,2019-07-13,Mohammad Hafeez,PAK
12,2019-07-13,Angelo Mathews,SL
13,2019-07-13,Sikandar Raza,ZIM
14,2019-07-13,Sean Williams,ZIM
15,2019-07-13,Marcus Stoinis,AUS
16,2019-07-13,Adil Rashid,ENG
17,2019-07-13,Moeen Ali,ENG
18,2019-07-13,Colin de Grandhomme,NZ
19,2019-07-13,Ravindra Jadeja,IND
20,2019-07-13,Kagiso Rabada,SA
1,2019-07-14,Shakib Al Hasan,BAN
2,2019-07-14,Ben Stokes,ENG
3,2019-07-14,Mohammad Nabi,AFG
4,2019-07-14,Imad Wasim,PAK
5,2019-07-14,Rashid Khan,AFG
6,2019-07-14,Chris Woakes,ENG
7,2019-07-14,Jason Holder,WI
8,2019-07-14,Mitchell Santner,NZ
9,2019-07-14,Andile Phehlukwayo,SA
10,2019-07-14,Hardik Pandya,IND
11,2019-07-14,Mohammad Hafeez,PAK
12,2019-07-14,Angelo Mathews,SL
13,2019-07-14,Sikandar Raza,ZIM
14,2019-07-14,Colin de Grandhomme,NZ
15,2019-07-14,Sean Williams,ZIM
16,2019-07-14,Marcus Stoinis,AUS
17,2019-07-14,Ravindra Jadeja,IND
18,2019-07-14,Kagiso Rabada,SA
19,2019-07-14,Moeen Ali,ENG
20,2019-07-14,Jimmy Neesham,NZ
1,2019-07-15,Shakib Al Hasan,BAN
2,2019-07-15,Ben Stokes,ENG
3,2019-07-15,Mohammad Nabi,AFG
4,2019-07-15,Imad Wasim,PAK
5,2019-07-15,Rashid Khan,AFG
6,2019-07-15,Chris Woakes,ENG
7,2019-07-15,Jason Holder,WI
8,2019-07-15,Mitchell Santner,NZ
9,2019-07-15,Andile Phehlukwayo,SA
10,2019-07-15,Hardik Pandya,IND
11,2019-07-15,Mohammad Hafeez,PAK
12,2019-07-15,Angelo Mathews,SL
13,2019-07-15,Sikandar Raza,ZIM
14,2019-07-15,Colin de Grandhomme,NZ
15,2019-07-15,Sean Williams,ZIM
16,2019-07-15,Marcus Stoinis,AUS
17,2019-07-15,Ravindra Jadeja,IND
18,2019-07-15,Kagiso Rabada,SA
19,2019-07-15,Moeen Ali,ENG
20,2019-07-15,Jimmy Neesham,NZ
1,2019-07-16,Shakib Al Hasan,BAN
2,2019-07-16,Ben Stokes,ENG
3,2019-07-16,Mohammad Nabi,AFG
4,2019-07-16,Imad Wasim,PAK
5,2019-07-16,Rashid Khan,AFG
6,2019-07-16,Chris Woakes,ENG
7,2019-07-16,Jason Holder,WI
8,2019-07-16,Mitchell Santner,NZ
9,2019-07-16,Andile Phehlukwayo,SA
10,2019-07-16,Hardik Pandya,IND
11,2019-07-16,Mohammad Hafeez,PAK
12,2019-07-16,Angelo Mathews,SL
13,2019-07-16,Sikandar Raza,ZIM
14,2019-07-16,Colin de Grandhomme,NZ
15,2019-07-16,Sean Williams,ZIM
16,2019-07-16,Marcus Stoinis,AUS
17,2019-07-16,Ravindra Jadeja,IND
18,2019-07-16,Kagiso Rabada,SA
19,2019-07-16,Moeen Ali,ENG
20,2019-07-16,Jimmy Neesham,NZ
1,2019-07-17,Shakib Al Hasan,BAN
2,2019-07-17,Ben Stokes,ENG
3,2019-07-17,Mohammad Nabi,AFG
4,2019-07-17,Imad Wasim,PAK
5,2019-07-17,Rashid Khan,AFG
6,2019-07-17,Chris Woakes,ENG
7,2019-07-17,Jason Holder,WI
8,2019-07-17,Mitchell Santner,NZ
9,2019-07-17,Andile Phehlukwayo,SA
10,2019-07-17,Hardik Pandya,IND
11,2019-07-17,Mohammad Hafeez,PAK
12,2019-07-17,Angelo Mathews,SL
13,2019-07-17,Sikandar Raza,ZIM
14,2019-07-17,Colin de Grandhomme,NZ
15,2019-07-17,Sean Williams,ZIM
16,2019-07-17,Marcus Stoinis,AUS
17,2019-07-17,Ravindra Jadeja,IND
18,2019-07-17,Kagiso Rabada,SA
19,2019-07-17,Moeen Ali,ENG
20,2019-07-17,Jimmy Neesham,NZ
1,2019-07-18,Shakib Al Hasan,BAN
2,2019-07-18,Ben Stokes,ENG
3,2019-07-18,Mohammad Nabi,AFG
4,2019-07-18,Imad Wasim,PAK
5,2019-07-18,Rashid Khan,AFG
6,2019-07-18,Chris Woakes,ENG
7,2019-07-18,Jason Holder,WI
8,2019-07-18,Mitchell Santner,NZ
9,2019-07-18,Andile Phehlukwayo,SA
10,2019-07-18,Hardik Pandya,IND
11,2019-07-18,Mohammad Hafeez,PAK
12,2019-07-18,Angelo Mathews,SL
13,2019-07-18,Sikandar Raza,ZIM
14,2019-07-18,Colin de Grandhomme,NZ
15,2019-07-18,Sean Williams,ZIM
16,2019-07-18,Marcus Stoinis,AUS
17,2019-07-18,Ravindra Jadeja,IND
18,2019-07-18,Kagiso Rabada,SA
19,2019-07-18,Moeen Ali,ENG
20,2019-07-18,Jimmy Neesham,NZ
1,2019-07-19,Shakib Al Hasan,BAN
2,2019-07-19,Ben Stokes,ENG
3,2019-07-19,Mohammad Nabi,AFG
4,2019-07-19,Imad Wasim,PAK
5,2019-07-19,Rashid Khan,AFG
6,2019-07-19,Chris Woakes,ENG
7,2019-07-19,Jason Holder,WI
8,2019-07-19,Mitchell Santner,NZ
9,2019-07-19,Andile Phehlukwayo,SA
10,2019-07-19,Hardik Pandya,IND
11,2019-07-19,Mohammad Hafeez,PAK
12,2019-07-19,Angelo Mathews,SL
13,2019-07-19,Sikandar Raza,ZIM
14,2019-07-19,Colin de Grandhomme,NZ
15,2019-07-19,Sean Williams,ZIM
16,2019-07-19,Marcus Stoinis,AUS
17,2019-07-19,Ravindra Jadeja,IND
18,2019-07-19,Kagiso Rabada,SA
19,2019-07-19,Moeen Ali,ENG
20,2019-07-19,Jimmy Neesham,NZ
1,2019-07-20,Shakib Al Hasan,BAN
2,2019-07-20,Ben Stokes,ENG
3,2019-07-20,Mohammad Nabi,AFG
4,2019-07-20,Imad Wasim,PAK
5,2019-07-20,Rashid Khan,AFG
6,2019-07-20,Chris Woakes,ENG
7,2019-07-20,Jason Holder,WI
8,2019-07-20,Mitchell Santner,NZ
9,2019-07-20,Andile Phehlukwayo,SA
10,2019-07-20,Hardik Pandya,IND
11,2019-07-20,Mohammad Hafeez,PAK
12,2019-07-20,Angelo Mathews,SL
13,2019-07-20,Sikandar Raza,ZIM
14,2019-07-20,Colin de Grandhomme,NZ
15,2019-07-20,Sean Williams,ZIM
16,2019-07-20,Marcus Stoinis,AUS
17,2019-07-20,Ravindra Jadeja,IND
18,2019-07-20,Kagiso Rabada,SA
19,2019-07-20,Moeen Ali,ENG
20,2019-07-20,Jimmy Neesham,NZ
1,2019-07-21,Shakib Al Hasan,BAN
2,2019-07-21,Ben Stokes,ENG
3,2019-07-21,Mohammad Nabi,AFG
4,2019-07-21,Imad Wasim,PAK
5,2019-07-21,Rashid Khan,AFG
6,2019-07-21,Chris Woakes,ENG
7,2019-07-21,Jason Holder,WI
8,2019-07-21,Mitchell Santner,NZ
9,2019-07-21,Andile Phehlukwayo,SA
10,2019-07-21,Hardik Pandya,IND
11,2019-07-21,Mohammad Hafeez,PAK
12,2019-07-21,Angelo Mathews,SL
13,2019-07-21,Sikandar Raza,ZIM
14,2019-07-21,Colin de Grandhomme,NZ
15,2019-07-21,Sean Williams,ZIM
16,2019-07-21,Marcus Stoinis,AUS
17,2019-07-21,Ravindra Jadeja,IND
18,2019-07-21,Kagiso Rabada,SA
19,2019-07-21,Moeen Ali,ENG
20,2019-07-21,Jimmy Neesham,NZ
1,2019-07-22,Shakib Al Hasan,BAN
2,2019-07-22,Ben Stokes,ENG
3,2019-07-22,Mohammad Nabi,AFG
4,2019-07-22,Imad Wasim,PAK
5,2019-07-22,Rashid Khan,AFG
6,2019-07-22,Chris Woakes,ENG
7,2019-07-22,Jason Holder,WI
8,2019-07-22,Mitchell Santner,NZ
9,2019-07-22,Andile Phehlukwayo,SA
10,2019-07-22,Hardik Pandya,IND
11,2019-07-22,Mohammad Hafeez,PAK
12,2019-07-22,Angelo Mathews,SL
13,2019-07-22,Sikandar Raza,ZIM
14,2019-07-22,Colin de Grandhomme,NZ
15,2019-07-22,Sean Williams,ZIM
16,2019-07-22,Marcus Stoinis,AUS
17,2019-07-22,Ravindra Jadeja,IND
18,2019-07-22,Kagiso Rabada,SA
19,2019-07-22,Moeen Ali,ENG
20,2019-07-22,Jimmy Neesham,NZ
1,2019-07-23,Shakib Al Hasan,BAN
2,2019-07-23,Ben Stokes,ENG
3,2019-07-23,Mohammad Nabi,AFG
4,2019-07-23,Imad Wasim,PAK
5,2019-07-23,Rashid Khan,AFG
6,2019-07-23,Chris Woakes,ENG
7,2019-07-23,Jason Holder,WI
8,2019-07-23,Mitchell Santner,NZ
9,2019-07-23,Andile Phehlukwayo,SA
10,2019-07-23,Hardik Pandya,IND
11,2019-07-23,Mohammad Hafeez,PAK
12,2019-07-23,Angelo Mathews,SL
13,2019-07-23,Sikandar Raza,ZIM
14,2019-07-23,Colin de Grandhomme,NZ
15,2019-07-23,Sean Williams,ZIM
16,2019-07-23,Marcus Stoinis,AUS
17,2019-07-23,Ravindra Jadeja,IND
18,2019-07-23,Kagiso Rabada,SA
19,2019-07-23,Moeen Ali,ENG
20,2019-07-23,Jimmy Neesham,NZ
1,2019-07-24,Shakib Al Hasan,BAN
2,2019-07-24,Ben Stokes,ENG
3,2019-07-24,Mohammad Nabi,AFG
4,2019-07-24,Imad Wasim,PAK
5,2019-07-24,Rashid Khan,AFG
6,2019-07-24,Chris Woakes,ENG
7,2019-07-24,Jason Holder,WI
8,2019-07-24,Mitchell Santner,NZ
9,2019-07-24,Andile Phehlukwayo,SA
10,2019-07-24,Hardik Pandya,IND
11,2019-07-24,Mohammad Hafeez,PAK
12,2019-07-24,Angelo Mathews,SL
13,2019-07-24,Sikandar Raza,ZIM
14,2019-07-24,Colin de Grandhomme,NZ
15,2019-07-24,Sean Williams,ZIM
16,2019-07-24,Marcus Stoinis,AUS
17,2019-07-24,Ravindra Jadeja,IND
18,2019-07-24,Kagiso Rabada,SA
19,2019-07-24,Moeen Ali,ENG
20,2019-07-24,Jimmy Neesham,NZ
1,2019-07-25,Shakib Al Hasan,BAN
2,2019-07-25,Ben Stokes,ENG
3,2019-07-25,Mohammad Nabi,AFG
4,2019-07-25,Imad Wasim,PAK
5,2019-07-25,Rashid Khan,AFG
6,2019-07-25,Chris Woakes,ENG
7,2019-07-25,Jason Holder,WI
8,2019-07-25,Mitchell Santner,NZ
9,2019-07-25,Andile Phehlukwayo,SA
10,2019-07-25,Hardik Pandya,IND
11,2019-07-25,Mohammad Hafeez,PAK
12,2019-07-25,Angelo Mathews,SL
13,2019-07-25,Sikandar Raza,ZIM
14,2019-07-25,Colin de Grandhomme,NZ
15,2019-07-25,Sean Williams,ZIM
16,2019-07-25,Marcus Stoinis,AUS
17,2019-07-25,Ravindra Jadeja,IND
18,2019-07-25,Kagiso Rabada,SA
19,2019-07-25,Moeen Ali,ENG
20,2019-07-25,Jimmy Neesham,NZ
1,2019-07-26,Shakib Al Hasan,BAN
2,2019-07-26,Ben Stokes,ENG
3,2019-07-26,Mohammad Nabi,AFG
4,2019-07-26,Imad Wasim,PAK
5,2019-07-26,Rashid Khan,AFG
6,2019-07-26,Chris Woakes,ENG
7,2019-07-26,Jason Holder,WI
8,2019-07-26,Mitchell Santner,NZ
9,2019-07-26,Andile Phehlukwayo,SA
10,2019-07-26,Hardik Pandya,IND
11,2019-07-26,Mohammad Hafeez,PAK
12,2019-07-26,Sikandar Raza,ZIM
13,2019-07-26,Angelo Mathews,SL
14,2019-07-26,Colin de Grandhomme,NZ
15,2019-07-26,Sean Williams,ZIM
16,2019-07-26,Marcus Stoinis,AUS
17,2019-07-26,Ravindra Jadeja,IND
18,2019-07-26,Kagiso Rabada,SA
19,2019-07-26,Moeen Ali,ENG
20,2019-07-26,Jimmy Neesham,NZ
1,2019-07-27,Shakib Al Hasan,BAN
2,2019-07-27,Ben Stokes,ENG
3,2019-07-27,Mohammad Nabi,AFG
4,2019-07-27,Imad Wasim,PAK
5,2019-07-27,Rashid Khan,AFG
6,2019-07-27,Chris Woakes,ENG
7,2019-07-27,Jason Holder,WI
8,2019-07-27,Mitchell Santner,NZ
9,2019-07-27,Andile Phehlukwayo,SA
10,2019-07-27,Hardik Pandya,IND
11,2019-07-27,Mohammad Hafeez,PAK
12,2019-07-27,Sikandar Raza,ZIM
13,2019-07-27,Angelo Mathews,SL
14,2019-07-27,Colin de Grandhomme,NZ
15,2019-07-27,Sean Williams,ZIM
16,2019-07-27,Marcus Stoinis,AUS
17,2019-07-27,Ravindra Jadeja,IND
18,2019-07-27,Kagiso Rabada,SA
19,2019-07-27,Moeen Ali,ENG
20,2019-07-27,Jimmy Neesham,NZ
1,2019-07-28,Shakib Al Hasan,BAN
2,2019-07-28,Ben Stokes,ENG
3,2019-07-28,Mohammad Nabi,AFG
4,2019-07-28,Imad Wasim,PAK
5,2019-07-28,Rashid Khan,AFG
6,2019-07-28,Chris Woakes,ENG
7,2019-07-28,Jason Holder,WI
8,2019-07-28,Mitchell Santner,NZ
9,2019-07-28,Andile Phehlukwayo,SA
10,2019-07-28,Hardik Pandya,IND
11,2019-07-28,Mohammad Hafeez,PAK
12,2019-07-28,Angelo Mathews,SL
13,2019-07-28,Sikandar Raza,ZIM
14,2019-07-28,Colin de Grandhomme,NZ
15,2019-07-28,Sean Williams,ZIM
16,2019-07-28,Marcus Stoinis,AUS
17,2019-07-28,Ravindra Jadeja,IND
18,2019-07-28,Kagiso Rabada,SA
19,2019-07-28,Moeen Ali,ENG
20,2019-07-28,Jimmy Neesham,NZ
1,2019-07-29,Shakib Al Hasan,BAN
2,2019-07-29,Ben Stokes,ENG
3,2019-07-29,Mohammad Nabi,AFG
4,2019-07-29,Imad Wasim,PAK
