Rank,date,fullName,nationality
1,2016-01-14,Shakib Al Hasan,BAN
2,2016-01-14,Tillekeratne Dilshan,SL
3,2016-01-14,James Faulkner,AUS
4,2016-01-14,Glenn Maxwell,AUS
5,2016-01-14,Angelo Mathews,SL
6,2016-01-14,Mohammad Nabi,AFG
7,2016-01-14,Moeen Ali,ENG
8,2016-01-14,Ravindra Jadeja,IND
9,2016-01-14,Paul Stirling,IRE
10,2016-01-14,Andre Russell,WI
11,2016-01-14,JP Duminy,SA
12,2016-01-14,Mohammad Nasir Hossain,BAN
13,2016-01-14,Marlon Samuels,WI
14,2016-01-14,Kevin O'Brien,IRE
15,2016-01-14,Suresh Raina,IND
16,2016-01-14,Mahmudullah,BAN
17,2016-01-14,Mitchell Starc,AUS
18,2016-01-14,Sean Williams,ZIM
19,2016-01-14,Corey Anderson,NZ
20,2016-01-14,Ravichandran Ashwin,IND
1,2016-01-15,Shakib Al Hasan,BAN
2,2016-01-15,Tillekeratne Dilshan,SL
3,2016-01-15,James Faulkner,AUS
4,2016-01-15,Glenn Maxwell,AUS
5,2016-01-15,Angelo Mathews,SL
6,2016-01-15,Mohammad Nabi,AFG
7,2016-01-15,Moeen Ali,ENG
8,2016-01-15,Ravindra Jadeja,IND
9,2016-01-15,Paul Stirling,IRE
10,2016-01-15,Andre Russell,WI
11,2016-01-15,JP Duminy,SA
12,2016-01-15,Mohammad Nasir Hossain,BAN
13,2016-01-15,Marlon Samuels,WI
14,2016-01-15,Kevin O'Brien,IRE
15,2016-01-15,Suresh Raina,IND
16,2016-01-15,Mahmudullah,BAN
17,2016-01-15,Mitchell Starc,AUS
18,2016-01-15,Sean Williams,ZIM
19,2016-01-15,Corey Anderson,NZ
20,2016-01-15,Jason Holder,WI
1,2016-01-16,Shakib Al Hasan,BAN
2,2016-01-16,Tillekeratne Dilshan,SL
3,2016-01-16,James Faulkner,AUS
4,2016-01-16,Glenn Maxwell,AUS
5,2016-01-16,Angelo Mathews,SL
6,2016-01-16,Mohammad Nabi,AFG
7,2016-01-16,Moeen Ali,ENG
8,2016-01-16,Ravindra Jadeja,IND
9,2016-01-16,Paul Stirling,IRE
10,2016-01-16,Andre Russell,WI
11,2016-01-16,JP Duminy,SA
12,2016-01-16,Mohammad Nasir Hossain,BAN
13,2016-01-16,Marlon Samuels,WI
14,2016-01-16,Kevin O'Brien,IRE
15,2016-01-16,Suresh Raina,IND
16,2016-01-16,Mahmudullah,BAN
17,2016-01-16,Mitchell Starc,AUS
18,2016-01-16,Sean Williams,ZIM
19,2016-01-16,Corey Anderson,NZ
20,2016-01-16,Jason Holder,WI
1,2016-01-17,Shakib Al Hasan,BAN
2,2016-01-17,Tillekeratne Dilshan,SL
3,2016-01-17,Glenn Maxwell,AUS
4,2016-01-17,James Faulkner,AUS
5,2016-01-17,Angelo Mathews,SL
6,2016-01-17,Mohammad Nabi,AFG
7,2016-01-17,Moeen Ali,ENG
8,2016-01-17,Ravindra Jadeja,IND
9,2016-01-17,Paul Stirling,IRE
10,2016-01-17,Andre Russell,WI
11,2016-01-17,JP Duminy,SA
12,2016-01-17,Mohammad Nasir Hossain,BAN
13,2016-01-17,Marlon Samuels,WI
14,2016-01-17,Kevin O'Brien,IRE
15,2016-01-17,Mahmudullah,BAN
16,2016-01-17,Suresh Raina,IND
17,2016-01-17,Sean Williams,ZIM
18,2016-01-17,Corey Anderson,NZ
19,2016-01-17,Mitchell Starc,AUS
20,2016-01-17,Jason Holder,WI
1,2016-01-18,Shakib Al Hasan,BAN
2,2016-01-18,Tillekeratne Dilshan,SL
3,2016-01-18,Glenn Maxwell,AUS
4,2016-01-18,James Faulkner,AUS
5,2016-01-18,Angelo Mathews,SL
6,2016-01-18,Mohammad Nabi,AFG
7,2016-01-18,Moeen Ali,ENG
8,2016-01-18,Ravindra Jadeja,IND
9,2016-01-18,Paul Stirling,IRE
10,2016-01-18,Andre Russell,WI
11,2016-01-18,JP Duminy,SA
12,2016-01-18,Mohammad Nasir Hossain,BAN
13,2016-01-18,Marlon Samuels,WI
14,2016-01-18,Kevin O'Brien,IRE
15,2016-01-18,Mahmudullah,BAN
16,2016-01-18,Suresh Raina,IND
17,2016-01-18,Sean Williams,ZIM
18,2016-01-18,Corey Anderson,NZ
19,2016-01-18,Mitchell Starc,AUS
20,2016-01-18,Jason Holder,WI
1,2016-01-19,Shakib Al Hasan,BAN
2,2016-01-19,Tillekeratne Dilshan,SL
3,2016-01-19,Glenn Maxwell,AUS
4,2016-01-19,James Faulkner,AUS
5,2016-01-19,Angelo Mathews,SL
6,2016-01-19,Mohammad Nabi,AFG
7,2016-01-19,Moeen Ali,ENG
8,2016-01-19,Ravindra Jadeja,IND
9,2016-01-19,Paul Stirling,IRE
10,2016-01-19,Andre Russell,WI
11,2016-01-19,JP Duminy,SA
12,2016-01-19,Mohammad Nasir Hossain,BAN
13,2016-01-19,Marlon Samuels,WI
14,2016-01-19,Kevin O'Brien,IRE
15,2016-01-19,Mahmudullah,BAN
16,2016-01-19,Suresh Raina,IND
17,2016-01-19,Sean Williams,ZIM
18,2016-01-19,Corey Anderson,NZ
19,2016-01-19,Mitchell Starc,AUS
20,2016-01-19,Jason Holder,WI
1,2016-01-20,Shakib Al Hasan,BAN
2,2016-01-20,Tillekeratne Dilshan,SL
3,2016-01-20,Glenn Maxwell,AUS
4,2016-01-20,Angelo Mathews,SL
5,2016-01-20,James Faulkner,AUS
6,2016-01-20,Mohammad Nabi,AFG
7,2016-01-20,Moeen Ali,ENG
8,2016-01-20,Ravindra Jadeja,IND
9,2016-01-20,Paul Stirling,IRE
10,2016-01-20,Andre Russell,WI
11,2016-01-20,JP Duminy,SA
12,2016-01-20,Mohammad Nasir Hossain,BAN
13,2016-01-20,Marlon Samuels,WI
14,2016-01-20,Kevin O'Brien,IRE
15,2016-01-20,Mahmudullah,BAN
16,2016-01-20,Suresh Raina,IND
17,2016-01-20,Sean Williams,ZIM
18,2016-01-20,Corey Anderson,NZ
19,2016-01-20,Mitchell Starc,AUS
20,2016-01-20,Jason Holder,WI
1,2016-01-21,Shakib Al Hasan,BAN
2,2016-01-21,Tillekeratne Dilshan,SL
3,2016-01-21,Glenn Maxwell,AUS
4,2016-01-21,Angelo Mathews,SL
5,2016-01-21,James Faulkner,AUS
6,2016-01-21,Mohammad Nabi,AFG
7,2016-01-21,Moeen Ali,ENG
8,2016-01-21,Ravindra Jadeja,IND
9,2016-01-21,Paul Stirling,IRE
10,2016-01-21,Andre Russell,WI
11,2016-01-21,JP Duminy,SA
12,2016-01-21,Mohammad Nasir Hossain,BAN
13,2016-01-21,Marlon Samuels,WI
14,2016-01-21,Kevin O'Brien,IRE
15,2016-01-21,Mahmudullah,BAN
16,2016-01-21,Suresh Raina,IND
17,2016-01-21,Sean Williams,ZIM
18,2016-01-21,Corey Anderson,NZ
19,2016-01-21,Mitchell Starc,AUS
20,2016-01-21,Jason Holder,WI
1,2016-01-22,Shakib Al Hasan,BAN
2,2016-01-22,Tillekeratne Dilshan,SL
3,2016-01-22,Glenn Maxwell,AUS
4,2016-01-22,Angelo Mathews,SL
5,2016-01-22,James Faulkner,AUS
6,2016-01-22,Mohammad Nabi,AFG
7,2016-01-22,Moeen Ali,ENG
8,2016-01-22,Ravindra Jadeja,IND
9,2016-01-22,Paul Stirling,IRE
10,2016-01-22,Andre Russell,WI
11,2016-01-22,JP Duminy,SA
12,2016-01-22,Mohammad Nasir Hossain,BAN
13,2016-01-22,Marlon Samuels,WI
14,2016-01-22,Kevin O'Brien,IRE
15,2016-01-22,Mahmudullah,BAN
16,2016-01-22,Suresh Raina,IND
17,2016-01-22,Sean Williams,ZIM
18,2016-01-22,Corey Anderson,NZ
19,2016-01-22,Mitchell Starc,AUS
20,2016-01-22,Jason Holder,WI
1,2016-01-23,Shakib Al Hasan,BAN
2,2016-01-23,Tillekeratne Dilshan,SL
3,2016-01-23,Glenn Maxwell,AUS
4,2016-01-23,Angelo Mathews,SL
5,2016-01-23,James Faulkner,AUS
6,2016-01-23,Mohammad Nabi,AFG
7,2016-01-23,Ravindra Jadeja,IND
8,2016-01-23,Moeen Ali,ENG
9,2016-01-23,Paul Stirling,IRE
10,2016-01-23,Andre Russell,WI
11,2016-01-23,JP Duminy,SA
12,2016-01-23,Mohammad Nasir Hossain,BAN
13,2016-01-23,Marlon Samuels,WI
14,2016-01-23,Kevin O'Brien,IRE
15,2016-01-23,Mahmudullah,BAN
16,2016-01-23,Mitchell Marsh,AUS
17,2016-01-23,Suresh Raina,IND
18,2016-01-23,Sean Williams,ZIM
19,2016-01-23,Corey Anderson,NZ
20,2016-01-23,Jason Holder,WI
1,2016-01-24,Shakib Al Hasan,BAN
2,2016-01-24,Tillekeratne Dilshan,SL
3,2016-01-24,Glenn Maxwell,AUS
4,2016-01-24,Angelo Mathews,SL
5,2016-01-24,James Faulkner,AUS
6,2016-01-24,Mohammad Nabi,AFG
7,2016-01-24,Ravindra Jadeja,IND
8,2016-01-24,Moeen Ali,ENG
9,2016-01-24,Paul Stirling,IRE
10,2016-01-24,Andre Russell,WI
11,2016-01-24,JP Duminy,SA
12,2016-01-24,Mohammad Nasir Hossain,BAN
13,2016-01-24,Marlon Samuels,WI
14,2016-01-24,Kevin O'Brien,IRE
15,2016-01-24,Mahmudullah,BAN
16,2016-01-24,Mitchell Marsh,AUS
17,2016-01-24,Suresh Raina,IND
18,2016-01-24,Sean Williams,ZIM
19,2016-01-24,Corey Anderson,NZ
20,2016-01-24,Jason Holder,WI
1,2016-01-25,Shakib Al Hasan,BAN
2,2016-01-25,Tillekeratne Dilshan,SL
3,2016-01-25,Glenn Maxwell,AUS
4,2016-01-25,Angelo Mathews,SL
5,2016-01-25,James Faulkner,AUS
6,2016-01-25,Mohammad Nabi,AFG
7,2016-01-25,Ravindra Jadeja,IND
8,2016-01-25,Moeen Ali,ENG
9,2016-01-25,Paul Stirling,IRE
10,2016-01-25,Andre Russell,WI
11,2016-01-25,JP Duminy,SA
12,2016-01-25,Mohammad Nasir Hossain,BAN
13,2016-01-25,Marlon Samuels,WI
14,2016-01-25,Kevin O'Brien,IRE
15,2016-01-25,Mahmudullah,BAN
16,2016-01-25,Mitchell Marsh,AUS
17,2016-01-25,Corey Anderson,NZ
18,2016-01-25,Suresh Raina,IND
19,2016-01-25,Sean Williams,ZIM
20,2016-01-25,Jason Holder,WI
1,2016-01-26,Shakib Al Hasan,BAN
2,2016-01-26,Tillekeratne Dilshan,SL
3,2016-01-26,Glenn Maxwell,AUS
4,2016-01-26,Angelo Mathews,SL
5,2016-01-26,James Faulkner,AUS
6,2016-01-26,Mohammad Nabi,AFG
7,2016-01-26,Ravindra Jadeja,IND
8,2016-01-26,Moeen Ali,ENG
9,2016-01-26,Paul Stirling,IRE
10,2016-01-26,Andre Russell,WI
11,2016-01-26,JP Duminy,SA
12,2016-01-26,Mohammad Nasir Hossain,BAN
13,2016-01-26,Marlon Samuels,WI
14,2016-01-26,Kevin O'Brien,IRE
15,2016-01-26,Mahmudullah,BAN
16,2016-01-26,Mitchell Marsh,AUS
17,2016-01-26,Corey Anderson,NZ
18,2016-01-26,Suresh Raina,IND
19,2016-01-26,Sean Williams,ZIM
20,2016-01-26,Jason Holder,WI
1,2016-01-27,Shakib Al Hasan,BAN
2,2016-01-27,Tillekeratne Dilshan,SL
3,2016-01-27,Glenn Maxwell,AUS
4,2016-01-27,Angelo Mathews,SL
5,2016-01-27,James Faulkner,AUS
6,2016-01-27,Mohammad Nabi,AFG
7,2016-01-27,Ravindra Jadeja,IND
8,2016-01-27,Moeen Ali,ENG
9,2016-01-27,Paul Stirling,IRE
10,2016-01-27,Andre Russell,WI
11,2016-01-27,JP Duminy,SA
12,2016-01-27,Mohammad Nasir Hossain,BAN
13,2016-01-27,Marlon Samuels,WI
14,2016-01-27,Kevin O'Brien,IRE
15,2016-01-27,Mahmudullah,BAN
16,2016-01-27,Mitchell Marsh,AUS
17,2016-01-27,Corey Anderson,NZ
18,2016-01-27,Suresh Raina,IND
19,2016-01-27,Sean Williams,ZIM
20,2016-01-27,Jason Holder,WI
1,2016-01-28,Shakib Al Hasan,BAN
2,2016-01-28,Tillekeratne Dilshan,SL
3,2016-01-28,Glenn Maxwell,AUS
4,2016-01-28,Angelo Mathews,SL
5,2016-01-28,James Faulkner,AUS
6,2016-01-28,Mohammad Nabi,AFG
7,2016-01-28,Ravindra Jadeja,IND
8,2016-01-28,Moeen Ali,ENG
9,2016-01-28,Paul Stirling,IRE
10,2016-01-28,Andre Russell,WI
11,2016-01-28,JP Duminy,SA
12,2016-01-28,Mohammad Nasir Hossain,BAN
13,2016-01-28,Marlon Samuels,WI
14,2016-01-28,Kevin O'Brien,IRE
15,2016-01-28,Mahmudullah,BAN
16,2016-01-28,Mitchell Marsh,AUS
17,2016-01-28,Corey Anderson,NZ
18,2016-01-28,Suresh Raina,IND
19,2016-01-28,Sean Williams,ZIM
20,2016-01-28,Jason Holder,WI
1,2016-01-29,Shakib Al Hasan,BAN
2,2016-01-29,Tillekeratne Dilshan,SL
3,2016-01-29,Glenn Maxwell,AUS
4,2016-01-29,Angelo Mathews,SL
5,2016-01-29,James Faulkner,AUS
6,2016-01-29,Mohammad Nabi,AFG
7,2016-01-29,Ravindra Jadeja,IND
8,2016-01-29,Moeen Ali,ENG
9,2016-01-29,Paul Stirling,IRE
10,2016-01-29,Andre Russell,WI
11,2016-01-29,JP Duminy,SA
12,2016-01-29,Mohammad Nasir Hossain,BAN
13,2016-01-29,Marlon Samuels,WI
14,2016-01-29,Kevin O'Brien,IRE
15,2016-01-29,Mahmudullah,BAN
16,2016-01-29,Mitchell Marsh,AUS
17,2016-01-29,Corey Anderson,NZ
18,2016-01-29,Suresh Raina,IND
19,2016-01-29,Sean Williams,ZIM
20,2016-01-29,Jason Holder,WI
1,2016-01-30,Shakib Al Hasan,BAN
2,2016-01-30,Tillekeratne Dilshan,SL
3,2016-01-30,Glenn Maxwell,AUS
4,2016-01-30,Angelo Mathews,SL
5,2016-01-30,James Faulkner,AUS
6,2016-01-30,Mohammad Nabi,AFG
7,2016-01-30,Ravindra Jadeja,IND
8,2016-01-30,Moeen Ali,ENG
9,2016-01-30,Paul Stirling,IRE
10,2016-01-30,Andre Russell,WI
11,2016-01-30,JP Duminy,SA
12,2016-01-30,Mohammad Nasir Hossain,BAN
13,2016-01-30,Marlon Samuels,WI
14,2016-01-30,Kevin O'Brien,IRE
15,2016-01-30,Mahmudullah,BAN
16,2016-01-30,Mitchell Marsh,AUS
17,2016-01-30,Corey Anderson,NZ
18,2016-01-30,Suresh Raina,IND
19,2016-01-30,Sean Williams,ZIM
20,2016-01-30,Jason Holder,WI
1,2016-01-31,Shakib Al Hasan,BAN
2,2016-01-31,Tillekeratne Dilshan,SL
3,2016-01-31,Glenn Maxwell,AUS
4,2016-01-31,Angelo Mathews,SL
5,2016-01-31,James Faulkner,AUS
6,2016-01-31,Mohammad Nabi,AFG
7,2016-01-31,Ravindra Jadeja,IND
8,2016-01-31,Moeen Ali,ENG
9,2016-01-31,Paul Stirling,IRE
10,2016-01-31,Andre Russell,WI
11,2016-01-31,JP Duminy,SA
12,2016-01-31,Mohammad Nasir Hossain,BAN
13,2016-01-31,Marlon Samuels,WI
14,2016-01-31,Kevin O'Brien,IRE
15,2016-01-31,Mahmudullah,BAN
16,2016-01-31,Mitchell Marsh,AUS
17,2016-01-31,Corey Anderson,NZ
18,2016-01-31,Suresh Raina,IND
19,2016-01-31,Sean Williams,ZIM
20,2016-01-31,Jason Holder,WI
1,2016-02-01,Shakib Al Hasan,BAN
2,2016-02-01,Tillekeratne Dilshan,SL
3,2016-02-01,Glenn Maxwell,AUS
4,2016-02-01,Angelo Mathews,SL
5,2016-02-01,James Faulkner,AUS
6,2016-02-01,Mohammad Nabi,AFG
7,2016-02-01,Ravindra Jadeja,IND
8,2016-02-01,Moeen Ali,ENG
9,2016-02-01,Paul Stirling,IRE
10,2016-02-01,Andre Russell,WI
11,2016-02-01,JP Duminy,SA
12,2016-02-01,Mohammad Nasir Hossain,BAN
13,2016-02-01,Marlon Samuels,WI
14,2016-02-01,Kevin O'Brien,IRE
15,2016-02-01,Mahmudullah,BAN
16,2016-02-01,Mitchell Marsh,AUS
17,2016-02-01,Corey Anderson,NZ
18,2016-02-01,Suresh Raina,IND
